day,time,open,high,low,close
2019.11.20,09:30,265.54,265.7,265.06,265.185
2019.11.20,09:31,265.154,265.69,265.07,265.575
2019.11.20,09:32,265.577,265.96,265.43,265.58
2019.11.20,09:33,265.59,265.69,265.37,265.44
2019.11.20,09:34,265.44,265.68,265.36,265.6
2019.11.20,09:35,265.6,265.62,265.32,265.41
2019.11.20,09:36,265.403,265.62,265.37,265.47
2019.11.20,09:37,265.45,265.62,265.39,265.59
2019.11.20,09:38,265.619,265.94,265.553,265.917
2019.11.20,09:39,265.93,266.083,265.77,265.835
2019.11.20,09:40,265.81,265.88,265.7,265.73
2019.11.20,09:41,265.7,265.71,265.6,265.636
2019.11.20,09:42,265.63,265.89,265.63,265.859
2019.11.20,09:43,265.869,265.89,265.29,265.35
2019.11.20,09:44,265.36,265.609,265.36,265.4
2019.11.20,09:45,265.385,265.5,265.31,265.36
2019.11.20,09:46,265.38,265.38,265.21,265.35
2019.11.20,09:47,265.38,265.48,265.21,265.32
2019.11.20,09:48,265.319,265.55,265.31,265.528
2019.11.20,09:49,265.527,265.54,265.25,265.275
2019.11.20,09:50,265.29,265.4,265.26,265.38
2019.11.20,09:51,265.41,265.468,265.387,265.42
2019.11.20,09:52,265.41,265.41,265.25,265.3
2019.11.20,09:53,265.29,265.34,264.8,264.91
2019.11.20,09:54,264.91,265.11,264.88,264.99
2019.11.20,09:55,264.999,265.33,264.98,265.206
2019.11.20,09:56,265.24,265.24,265.12,265.18
2019.11.20,09:57,265.19,265.44,265.19,265.35
2019.11.20,09:58,265.35,265.48,265.29,265.29
2019.11.20,09:59,265.27,265.27,265.15,265.225
2019.11.20,10:00,265.24,265.25,265.08,265.22
2019.11.20,10:01,265.24,265.39,265.2,265.39
2019.11.20,10:02,265.39,265.48,265.37,265.42
2019.11.20,10:03,265.425,265.45,265.38,265.43
2019.11.20,10:04,265.46,265.53,265.17,265.24
2019.11.20,10:05,265.238,265.27,265.07,265.17
2019.11.20,10:06,265.171,265.19,265.04,265.055
2019.11.20,10:07,265.055,265.23,265.04,265.19
2019.11.20,10:08,265.18,265.22,265.044,265.21
2019.11.20,10:09,265.21,265.21,265.11,265.17
2019.11.20,10:10,265.16,265.21,265.05,265.14
2019.11.20,10:11,265.15,265.2,265.01,265.025
2019.11.20,10:12,265.013,265.03,264.95,264.996
2019.11.20,10:13,265.01,265.05,264.932,264.937
2019.11.20,10:14,264.93,264.93,264.69,264.73
2019.11.20,10:15,264.73,264.87,264.67,264.808
2019.11.20,10:16,264.8,264.83,264.36,264.475
2019.11.20,10:17,264.489,264.67,264.46,264.65
2019.11.20,10:18,264.68,264.837,264.52,264.805
2019.11.20,10:19,264.79,264.87,264.68,264.69
2019.11.20,10:20,264.7,264.71,264.54,264.596
2019.11.20,10:21,264.58,264.66,264.518,264.545
2019.11.20,10:22,264.54,264.65,264.47,264.63
2019.11.20,10:23,264.608,264.74,264.47,264.53
2019.11.20,10:24,264.527,264.58,264.23,264.333
2019.11.20,10:25,264.34,264.697,264.32,264.697
2019.11.20,10:26,264.71,264.76,264.598,264.65
2019.11.20,10:27,264.647,264.85,264.64,264.75
2019.11.20,10:28,264.748,264.77,264.67,264.716
2019.11.20,10:29,264.7,264.84,264.7,264.8
2019.11.20,10:30,264.795,264.89,264.78,264.83
2019.11.20,10:31,264.83,264.97,264.82,264.9
2019.11.20,10:32,264.92,265.136,264.92,265.07
2019.11.20,10:33,265.05,265.14,264.99,265.09
2019.11.20,10:34,265.088,265.31,265.03,265.22
2019.11.20,10:35,265.23,265.35,265.17,265.195
2019.11.20,10:36,265.2,265.27,265.17,265.225
2019.11.20,10:37,265.225,265.27,265.14,265.155
2019.11.20,10:38,265.15,265.22,265.11,265.137
2019.11.20,10:39,265.13,265.182,265.015,265.061
2019.11.20,10:40,265.075,265.09,264.94,264.956
2019.11.20,10:41,264.955,264.955,264.75,264.81
2019.11.20,10:42,264.76,264.86,264.72,264.815
2019.11.20,10:43,264.82,264.974,264.78,264.905
2019.11.20,10:44,264.89,264.92,264.75,264.79
2019.11.20,10:45,264.785,264.808,264.66,264.808
2019.11.20,10:46,264.81,264.816,264.66,264.724
2019.11.20,10:47,264.717,264.84,264.66,264.705
2019.11.20,10:48,264.7,264.8,264.69,264.694
2019.11.20,10:49,264.71,264.772,264.7,264.77
2019.11.20,10:50,264.77,264.903,264.71,264.903
2019.11.20,10:51,264.92,265.1,264.92,265.1
2019.11.20,10:52,265.095,265.11,265,265.08
2019.11.20,10:53,265.08,265.228,265.08,265.13
2019.11.20,10:54,265.13,265.206,265.092,265.101
2019.11.20,10:55,265.1,265.12,265.05,265.05
2019.11.20,10:56,265.04,265.07,264.99,265.03
2019.11.20,10:57,265.03,265.13,265.03,265.12
2019.11.20,10:58,265.11,265.11,265.04,265.08
2019.11.20,10:59,265.075,265.086,265.02,265.035
2019.11.20,11:00,265.05,265.1,264.94,265.02
2019.11.20,11:01,265.025,265.22,265.025,265.18
2019.11.20,11:02,265.19,265.19,265.02,265.065
2019.11.20,11:03,265.06,265.19,265.06,265.15
2019.11.20,11:04,265.15,265.22,265.15,265.17
2019.11.20,11:05,265.165,265.176,265.055,265.055
2019.11.20,11:06,265.05,265.05,264.94,264.94
2019.11.20,11:07,264.95,264.961,264.8,264.8
2019.11.20,11:08,264.79,264.8,264.75,264.769
2019.11.20,11:09,264.76,264.85,264.74,264.791
2019.11.20,11:10,264.795,264.81,264.61,264.74
2019.11.20,11:11,264.75,264.83,264.695,264.83
2019.11.20,11:12,264.82,264.89,264.82,264.88
2019.11.20,11:13,264.88,264.97,264.87,264.945
2019.11.20,11:14,264.947,264.95,264.92,264.935
2019.11.20,11:15,264.935,264.95,264.87,264.89
2019.11.20,11:16,264.909,264.909,264.78,264.783
2019.11.20,11:17,264.785,264.87,264.75,264.87
2019.11.20,11:18,264.879,264.88,264.77,264.775
2019.11.20,11:19,264.78,264.78,264.567,264.57
2019.11.20,11:20,264.57,264.59,264.45,264.49
2019.11.20,11:21,264.497,264.51,264.42,264.46
2019.11.20,11:22,264.49,264.52,264.41,264.494
2019.11.20,11:23,264.5,264.57,264.49,264.509
2019.11.20,11:24,264.51,264.534,264.42,264.43
2019.11.20,11:25,264.45,264.59,264.41,264.42
2019.11.20,11:26,264.43,264.43,264.36,264.374
2019.11.20,11:27,264.38,264.38,264.32,264.32
2019.11.20,11:28,264.32,264.39,264.27,264.32
2019.11.20,11:29,264.312,264.317,264.22,264.225
2019.11.20,11:30,264.22,264.25,264.14,264.2
2019.11.20,11:31,264.2,264.38,264.2,264.34
2019.11.20,11:32,264.34,264.38,264.21,264.253
2019.11.20,11:33,264.24,264.31,264.13,264.275
2019.11.20,11:34,264.29,264.33,264.15,264.21
2019.11.20,11:35,264.21,264.29,264.152,264.24
2019.11.20,11:36,264.269,264.3,264.254,264.28
2019.11.20,11:37,264.3,264.43,264.17,264.285
2019.11.20,11:38,264.28,264.56,264.257,264.495
2019.11.20,11:39,264.5,264.51,264.329,264.389
2019.11.20,11:40,264.39,264.44,264.32,264.35
2019.11.20,11:41,264.346,264.346,264.25,264.286
2019.11.20,11:42,264.284,264.285,264.13,264.2
2019.11.20,11:43,264.19,264.19,264.03,264.17
2019.11.20,11:44,264.16,264.2,264.14,264.19
2019.11.20,11:45,264.19,264.19,264.03,264.039
2019.11.20,11:46,264.033,264.04,263.81,263.94
2019.11.20,11:47,263.95,264.05,263.891,263.93
2019.11.20,11:48,263.926,264.05,263.918,263.918
2019.11.20,11:49,263.91,263.93,263.85,263.861
2019.11.20,11:50,263.86,263.88,263.73,263.85
2019.11.20,11:51,263.829,264.01,263.829,263.92
2019.11.20,11:52,263.91,263.91,263.8,263.82
2019.11.20,11:53,263.832,263.96,263.82,263.941
2019.11.20,11:54,263.96,263.96,263.79,263.8
2019.11.20,11:55,263.79,264.01,263.79,263.9
2019.11.20,11:56,263.93,264,263.891,263.905
2019.11.20,11:57,263.9,263.94,263.8,263.804
2019.11.20,11:58,263.8,263.8,263.41,263.464
2019.11.20,11:59,263.45,263.6,263.41,263.568
2019.11.20,12:00,263.55,263.69,263.53,263.69
2019.11.20,12:01,263.7,263.82,263.7,263.75
2019.11.20,12:02,263.755,263.79,263.64,263.72
2019.11.20,12:03,263.725,263.805,263.705,263.71
2019.11.20,12:04,263.7,263.88,263.66,263.83
2019.11.20,12:05,263.82,263.845,263.75,263.772
2019.11.20,12:06,263.76,263.82,263.748,263.783
2019.11.20,12:07,263.79,263.79,263.63,263.68
2019.11.20,12:08,263.68,263.88,263.68,263.86
2019.11.20,12:09,263.84,264.02,263.81,263.863
2019.11.20,12:10,263.85,263.935,263.826,263.925
2019.11.20,12:11,263.93,264.13,263.912,264.05
2019.11.20,12:12,264.063,264.25,264.063,264.23
2019.11.20,12:13,264.241,264.28,264.15,264.225
2019.11.20,12:14,264.219,264.23,264,264.07
2019.11.20,12:15,264.073,264.073,263.92,263.997
2019.11.20,12:16,263.993,264.133,263.975,264.023
2019.11.20,12:17,264.02,264.11,263.99,263.99
2019.11.20,12:18,263.989,264,263.925,263.985
2019.11.20,12:19,263.99,264.08,263.99,264.08
2019.11.20,12:20,264.087,264.16,264.035,264.035
2019.11.20,12:21,264.02,264.02,263.87,263.893
2019.11.20,12:22,263.882,264.04,263.88,264.04
2019.11.20,12:23,264.024,264.03,263.96,263.995
2019.11.20,12:24,264,264.03,263.94,263.99
2019.11.20,12:25,263.97,264.03,263.92,263.92
