day,time,open,high,low,close
12/1/09,09:30,28.891,28.967,28.867,28.904
12/1/09,09:31,28.9,28.946,28.871,28.886
12/1/09,09:32,28.887,28.913,28.883,28.897
12/1/09,09:33,28.897,28.914,28.86,28.864
12/1/09,09:34,28.86,28.886,28.83,28.874
12/1/09,09:35,28.874,28.886,28.859,28.886
12/1/09,09:36,28.873,28.904,28.873,28.9
12/1/09,09:37,28.9,28.907,28.867,28.87
12/1/09,09:38,28.867,28.899,28.866,28.89
12/1/09,09:39,28.887,28.901,28.887,28.896
12/1/09,09:40,28.9,28.904,28.879,28.893
12/1/09,09:41,28.9,28.901,28.881,28.891
12/1/09,09:42,28.897,28.9,28.886,28.893
12/1/09,09:43,28.894,28.897,28.861,28.874
12/1/09,09:44,28.876,28.893,28.867,28.891
12/1/09,09:45,28.891,28.901,28.872,28.894
12/1/09,09:46,28.897,28.897,28.877,28.887
12/1/09,09:47,28.887,28.896,28.871,28.884
12/1/09,09:48,28.876,28.891,28.876,28.881
12/1/09,09:49,28.884,28.889,28.873,28.879
12/1/09,09:50,28.88,28.891,28.879,28.883
12/1/09,09:51,28.887,28.896,28.88,28.89
12/1/09,09:52,28.891,28.894,28.883,28.894
12/1/09,09:53,28.89,28.896,28.889,28.896
12/1/09,09:54,28.896,28.921,28.891,28.896
12/1/09,09:55,28.897,28.9,28.867,28.883
12/1/09,09:56,28.884,28.906,28.88,28.906
12/1/09,09:57,28.906,28.909,28.876,28.886
12/1/09,09:58,28.876,28.893,28.876,28.888
12/1/09,09:59,28.882,28.893,28.873,28.877
12/1/09,10:00,28.878,28.886,28.833,28.856
12/1/09,10:01,28.854,28.879,28.846,28.856
12/1/09,10:02,28.861,28.889,28.847,28.88
12/1/09,10:03,28.883,28.884,28.857,28.86
12/1/09,10:04,28.861,28.879,28.861,28.867
12/1/09,10:05,28.861,28.866,28.806,28.817
12/1/09,10:06,28.816,28.817,28.714,28.714
12/1/09,10:07,28.721,28.757,28.717,28.743
12/1/09,10:08,28.743,28.751,28.7,28.723
12/1/09,10:09,28.719,28.723,28.703,28.703
12/1/09,10:10,28.701,28.722,28.656,28.663
12/1/09,10:11,28.663,28.71,28.657,28.71
12/1/09,10:12,28.71,28.726,28.707,28.726
12/1/09,10:13,28.729,28.751,28.724,28.729
12/1/09,10:14,28.734,28.74,28.723,28.736
12/1/09,10:15,28.737,28.743,28.734,28.739
12/1/09,10:16,28.736,28.74,28.731,28.736
12/1/09,10:17,28.736,28.74,28.72,28.724
12/1/09,10:18,28.722,28.739,28.72,28.723
12/1/09,10:19,28.723,28.729,28.72,28.724
12/1/09,10:20,28.721,28.736,28.721,28.726
12/1/09,10:21,28.73,28.731,28.66,28.667
12/1/09,10:22,28.667,28.697,28.66,28.697
12/1/09,10:23,28.697,28.719,28.677,28.677
12/1/09,10:24,28.677,28.684,28.673,28.674
12/1/09,10:25,28.677,28.677,28.653,28.657
12/1/09,10:26,28.656,28.667,28.647,28.654
12/1/09,10:27,28.651,28.656,28.646,28.652
12/1/09,10:28,28.651,28.669,28.651,28.659
12/1/09,10:29,28.657,28.684,28.656,28.684
12/1/09,10:30,28.679,28.721,28.676,28.72
12/1/09,10:31,28.719,28.739,28.715,28.739
